"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","Running",,"",0,"normal",,,,240,
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","Seated Cable Row - V Grip (Cable)",,"",0,"warmup",70,10,,,6
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",85,10,,,7
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",100,10,,,7
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","Lat Pulldown (Cable)",0,"",0,"normal",140,10,,,7.5
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","Lat Pulldown (Cable)",0,"",1,"normal",140,10,,,8.5
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","Lat Pulldown (Cable)",0,"",2,"normal",140,10,,,8.5
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","Straight Arm Lat Pulldown (Cable)",0,"",0,"normal",70,10,,,8.5
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","Straight Arm Lat Pulldown (Cable)",0,"",1,"normal",70,10,,,8
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","Straight Arm Lat Pulldown (Cable)",0,"",2,"normal",74,10,,,9
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","T Bar Row",,"",0,"normal",70,10,,,7
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","T Bar Row",,"",1,"normal",80,10,,,7.5
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","T Bar Row",,"",2,"normal",90,10,,,8.5
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","Bicep Curl (Barbell)",,"",0,"normal",60,21,,,7
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","Bicep Curl (Barbell)",,"",1,"normal",60,21,,,8.5
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","Bicep Curl (Barbell)",,"",2,"normal",60,21,,,9
"Gut Check - Day 1 🚀","28 May 2024, 07:32","28 May 2024, 08:27","","Running",,"",0,"normal",,,,240,
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Seated Overhead Press (Dumbbell)",,"",0,"normal",80,15,,,7
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Seated Overhead Press (Dumbbell)",,"",1,"normal",90,15,,,7.5
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Seated Overhead Press (Dumbbell)",,"",2,"normal",90,12,,,8.5
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Upright Row (Barbell)",,"",0,"warmup",60,10,,,
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Upright Row (Barbell)",,"",1,"normal",80,10,,,7
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Upright Row (Barbell)",,"",2,"normal",80,10,,,8.5
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Upright Row (Barbell)",,"",3,"normal",80,10,,,8
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Lateral Raise (Dumbbell)",0,"",0,"normal",40,10,,,
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Lateral Raise (Dumbbell)",0,"",1,"normal",30,10,,,
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Lateral Raise (Dumbbell)",0,"",2,"normal",30,10,,,
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Front Raise (Dumbbell)",0,"",0,"normal",30,10,,,
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Front Raise (Dumbbell)",0,"",1,"normal",30,10,,,
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Rear Delt Reverse Fly (Cable)",,"",0,"normal",15,12,,,6
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Rear Delt Reverse Fly (Cable)",,"",1,"normal",15,15,,,8
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Rear Delt Reverse Fly (Cable)",,"",2,"normal",25,8,,,10
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Rear Delt Reverse Fly (Cable)",,"",3,"failure",15,17,,,10
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Woodchoppers",1,"",0,"normal",32.5,30,,,
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Woodchoppers",1,"",1,"normal",22.5,30,,,
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Cable Crunch",1,"",0,"normal",72.5,20,,,
"Shoulder Shredder","26 May 2024, 14:42","26 May 2024, 15:45","","Cable Crunch",1,"",1,"normal",72.5,20,,,
"Afternoon workout 💪","26 May 2024, 14:22","26 May 2024, 14:42","","Lateral Raise (Dumbbell)",0,"",0,"normal",30,12,,,
"Afternoon workout 💪","26 May 2024, 14:22","26 May 2024, 14:42","","Front Raise (Dumbbell)",0,"",0,"normal",30,12,,,
"Afternoon workout 💪","26 May 2024, 14:22","26 May 2024, 14:42","","Stretching",,"",0,"normal",,,,653,
"Afternoon workout 💪","26 May 2024, 14:22","26 May 2024, 14:42","","Shoulder Press (Dumbbell)",,"",0,"normal",50,120,,,
"Morning workout ☀️","25 May 2024, 11:58","25 May 2024, 12:43","","Stair Machine",,"",0,"normal",,,,300,
"Morning workout ☀️","25 May 2024, 11:58","25 May 2024, 12:43","","Squat (Machine)",,"",0,"warmup",180,12,,,7
"Morning workout ☀️","25 May 2024, 11:58","25 May 2024, 12:43","","Squat (Machine)",,"",1,"normal",270,10,,,8.5
"Morning workout ☀️","25 May 2024, 11:58","25 May 2024, 12:43","","Squat (Machine)",,"",2,"normal",270,10,,,8.5
"Morning workout ☀️","25 May 2024, 11:58","25 May 2024, 12:43","","Squat (Machine)",,"",3,"normal",270,9,,,9
"Morning workout ☀️","25 May 2024, 11:58","25 May 2024, 12:43","","Bicep Curl (Barbell)",,"",0,"normal",70,21,,,8.5
"Morning workout ☀️","25 May 2024, 11:58","25 May 2024, 12:43","","Bicep Curl (Barbell)",,"",1,"normal",70,21,,,9.5
"Morning workout ☀️","25 May 2024, 11:58","25 May 2024, 12:43","","Bicep Curl (Barbell)",,"",2,"normal",50,21,,,9
"Morning workout ☀️","25 May 2024, 11:58","25 May 2024, 12:43","","Bosu Ball Sit-up",0,"",0,"normal",30,20,,,
"Morning workout ☀️","25 May 2024, 11:58","25 May 2024, 12:43","","Bosu Ball Sit-up",0,"",1,"normal",30,20,,,
"Morning workout ☀️","25 May 2024, 11:58","25 May 2024, 12:43","","Side Plank Crunch",0,"",0,"normal",30,30,,,
"Morning workout ☀️","25 May 2024, 11:58","25 May 2024, 12:43","","Side Plank Crunch",0,"",1,"normal",30,30,,,
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Running",,"",0,"normal",,,,240,
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Incline Bench Press (Barbell)",,"Sets 2 & 3, 5 up 5 down",0,"normal",115,15,,,8
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Incline Bench Press (Barbell)",,"Sets 2 & 3, 5 up 5 down",1,"normal",115,10,,,9.5
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Incline Bench Press (Barbell)",,"Sets 2 & 3, 5 up 5 down",2,"normal",115,8,,,10
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Chest Press (Machine)",,"",0,"normal",225,10,,,9
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Chest Press (Machine)",,"",1,"normal",225,10,,,9
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Chest Press (Machine)",,"",2,"normal",225,10,,,8.5
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Chest Fly (Machine)",,"",0,"normal",115,10,,,8
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Chest Fly (Machine)",,"",1,"normal",130,10,,,8
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Decline Cable Chest Press",,"",0,"normal",75,10,,,7.5
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Decline Cable Chest Press",,"",1,"normal",85,12,,,8.5
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Decline Cable Chest Press",,"",2,"normal",85,15,,,9
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Woodchoppers",0,"",0,"normal",22.5,30,,,
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Woodchoppers",0,"",1,"normal",32.5,30,,,
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Cable Crunch",0,"",0,"normal",67.5,20,,,
"Morning workout ☀️","22 May 2024, 07:28","22 May 2024, 08:25","","Cable Crunch",0,"",1,"normal",67.5,20,,,
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","Running",,"",0,"normal",,,,240,
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","T Bar Row",,"",0,"normal",70,10,,,6
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","T Bar Row",,"",1,"normal",80,10,,,7
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","T Bar Row",,"",2,"normal",80,10,,,7.5
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","Straight Arm Lat Pulldown (Cable)",,"",0,"normal",70,10,,,7.5
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","Straight Arm Lat Pulldown (Cable)",,"",1,"normal",70,10,,,8.5
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","Straight Arm Lat Pulldown (Cable)",,"",2,"normal",74,10,,,9.5
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","Lat Pulldown (Machine)",,"",0,"normal",205,10,,,9.5
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","Lat Pulldown (Machine)",,"",1,"normal",205,10,,,10
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","Lat Pulldown (Machine)",,"",2,"failure",205,10,,,10
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","Bicep Curl (Barbell)",,"",0,"normal",60,21,,,8
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","Bicep Curl (Barbell)",,"",1,"normal",70,21,,,9.5
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","Bicep Curl (Barbell)",,"",2,"normal",70,21,,,9.5
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","Bosu Ball Sit-up",,"",0,"normal",,20,,,
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","Bosu Ball Sit-up",,"",1,"normal",,20,,,
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","Side Plank Crunch",,"",0,"normal",,30,,,
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","Side Plank Crunch",,"",1,"normal",,30,,,
"Morning workout ☀️","21 May 2024, 07:26","21 May 2024, 08:38","","Running",,"",0,"normal",,,,60,
"Afternoon workout 💪","18 May 2024, 15:19","18 May 2024, 15:46","","Stair Machine",,"",0,"normal",,,,300,
"Afternoon workout 💪","18 May 2024, 15:19","18 May 2024, 15:46","","Seated Incline Curl (Dumbbell)",0,"",0,"normal",70,10,,,7
"Afternoon workout 💪","18 May 2024, 15:19","18 May 2024, 15:46","","Seated Incline Curl (Dumbbell)",0,"",1,"normal",70,10,,,7.5
"Afternoon workout 💪","18 May 2024, 15:19","18 May 2024, 15:46","","Seated Incline Curl (Dumbbell)",0,"",2,"normal",70,10,,,9.5
"Afternoon workout 💪","18 May 2024, 15:19","18 May 2024, 15:46","","Incline Bench Press (Dumbbell)",0,"",0,"normal",70,12,,,6
"Afternoon workout 💪","18 May 2024, 15:19","18 May 2024, 15:46","","Incline Bench Press (Dumbbell)",0,"",1,"normal",70,12,,,6
"Afternoon workout 💪","18 May 2024, 15:19","18 May 2024, 15:46","","Incline Bench Press (Dumbbell)",0,"",2,"normal",70,15,,,6
"Afternoon workout 💪","18 May 2024, 15:19","18 May 2024, 15:46","","Isolateral Shoulder Band Pull",1,"",0,"normal",,20,,,6
"Afternoon workout 💪","18 May 2024, 15:19","18 May 2024, 15:46","","Isolateral Shoulder Band Pull",1,"",1,"normal",,20,,,7.5
"Afternoon workout 💪","18 May 2024, 15:19","18 May 2024, 15:46","","Upright Row (Kettlebell)",1,"",0,"normal",40,15,,,6
"Afternoon workout 💪","18 May 2024, 15:19","18 May 2024, 15:46","","Upright Row (Kettlebell)",1,"",1,"normal",45,12,,,9.5
"Morning workout ☀️","17 May 2024, 08:12","17 May 2024, 09:04","","Running",,"",0,"normal",,,,240,
"Morning workout ☀️","17 May 2024, 08:12","17 May 2024, 09:04","","Leg Press Horizontal (Machine)",,"",0,"warmup",300,20,,,7
"Morning workout ☀️","17 May 2024, 08:12","17 May 2024, 09:04","","Leg Press Horizontal (Machine)",,"",1,"normal",380,12,,,6
"Morning workout ☀️","17 May 2024, 08:12","17 May 2024, 09:04","","Leg Press Horizontal (Machine)",,"",2,"normal",380,15,,,7
"Morning workout ☀️","17 May 2024, 08:12","17 May 2024, 09:04","","Leg Press Horizontal (Machine)",,"",3,"normal",380,15,,,7.5
"Morning workout ☀️","17 May 2024, 08:12","17 May 2024, 09:04","","Bulgarian Split Squat",,"",0,"normal",80,20,,,7
"Morning workout ☀️","17 May 2024, 08:12","17 May 2024, 09:04","","Bulgarian Split Squat",,"",1,"normal",80,20,,,7
"Morning workout ☀️","17 May 2024, 08:12","17 May 2024, 09:04","","Bulgarian Split Squat",,"",2,"normal",80,20,,,6
"Morning workout ☀️","17 May 2024, 08:12","17 May 2024, 09:04","","Seated Calf Raise",,"",0,"normal",80,20,,,6
"Morning workout ☀️","17 May 2024, 08:12","17 May 2024, 09:04","","Seated Calf Raise",,"",1,"normal",80,20,,,6
"Morning workout ☀️","17 May 2024, 08:12","17 May 2024, 09:04","","Seated Calf Raise",,"",2,"normal",80,20,,,6
"Morning workout ☀️","17 May 2024, 08:12","17 May 2024, 09:04","","Woodchoppers",,"",0,"normal",35,30,,,
"Morning workout ☀️","17 May 2024, 08:12","17 May 2024, 09:04","","Woodchoppers",,"",1,"normal",35,30,,,
"Morning workout ☀️","17 May 2024, 08:12","17 May 2024, 09:04","","Weighted Leg Raise",,"",0,"normal",10,15,,,
"Morning workout ☀️","17 May 2024, 08:12","17 May 2024, 09:04","","Weighted Leg Raise",,"",1,"normal",10,15,,,
