score,day,contributors_timing,contributors_deep_sleep,contributors_restfulness,contributors_efficiency,contributors_latency,contributors_rem_sleep,contributors_total_sleep
81,2023-08-12,62,71,69,88,83,97,87
68,2023-08-13,54,64,69,72,78,31,78
73,2023-08-14,55,89,89,88,75,59,67
75,2023-08-15,85,40,80,88,70,91,73
73,2023-08-16,91,62,82,79,89,74,61
73,2023-08-17,79,65,78,93,78,82,61
66,2023-08-18,71,71,74,95,91,51,48
84,2023-08-19,71,95,75,81,97,44,96
88,2023-08-20,80,67,86,88,97,95,92
79,2023-08-21,66,83,84,88,67,80,79
82,2023-08-22,93,44,94,96,86,85,79
73,2023-08-23,82,66,72,88,78,69,69
69,2023-08-24,85,43,74,93,78,76,58
69,2023-08-25,68,50,87,95,86,69,54
74,2023-08-26,47,59,72,86,97,86,74
69,2023-08-27,60,80,80,86,75,81,54
89,2023-08-28,84,74,72,93,99,97,97
66,2023-08-29,73,52,72,76,51,65,66
78,2023-08-30,71,73,83,93,97,83,69
78,2023-08-31,58,87,81,96,83,78,74
67,2023-09-01,43,87,82,86,59,47,64
84,2023-09-02,52,56,86,96,83,99,92
79,2023-09-03,61,29,74,95,70,98,92
81,2023-09-04,24,36,78,97,91,98,100
50,2023-09-05,23,64,66,67,78,46,36
75,2023-09-06,79,46,90,93,97,75,64
76,2023-09-07,77,56,82,95,94,91,65
84,2023-09-08,73,47,76,95,86,96,93
72,2023-09-09,28,42,72,98,94,96,72
69,2023-09-10,28,81,80,95,75,58,68
67,2023-09-11,87,28,89,93,78,53,57
74,2023-09-12,81,67,77,90,56,80,71
64,2023-09-13,84,71,74,76,91,46,45
72,2023-09-14,75,57,82,97,78,53,68
72,2023-09-15,85,63,84,100,67,88,55
72,2023-09-17,46,54,78,86,94,69,71
77,2023-09-18,84,61,85,90,48,76,82
77,2023-09-19,82,96,74,74,89,67,71
73,2023-09-20,61,61,65,81,94,75,74
71,2023-09-21,82,68,78,83,94,55,60
55,2023-09-23,18,33,85,95,64,62,42
70,2023-09-24,28,47,86,95,94,89,62
72,2023-09-25,64,54,80,88,91,60,68
64,2023-09-26,59,52,77,81,22,67,68
80,2023-09-27,64,67,79,98,86,88,80
76,2023-09-28,69,65,82,90,75,44,84
74,2023-09-30,66,49,90,83,86,77,69
70,2023-10-01,50,60,90,81,75,70,66
79,2023-10-02,88,53,81,93,83,81,77
70,2023-10-03,70,70,88,93,78,67,54
65,2023-10-04,41,53,83,88,81,70,54
73,2023-10-06,44,56,73,96,83,89,72
64,2023-10-07,14,79,87,90,70,62,54
77,2023-10-08,11,63,72,97,83,95,90
64,2023-10-10,52,68,81,86,75,41,56
83,2023-10-11,84,61,91,100,83,96,76
69,2023-10-12,62,56,85,96,70,64,60
64,2023-10-13,46,35,77,88,97,56,57
89,2023-10-14,67,96,74,95,89,81,100
48,2023-10-15,26,76,63,58,75,14,38
57,2023-10-16,40,80,51,65,18,39,73
66,2023-10-17,53,38,77,96,89,68,56
74,2023-10-18,73,44,85,83,91,91,67
80,2023-10-19,68,67,76,96,78,100,80
74,2023-10-20,68,62,79,98,75,86,67
72,2023-10-21,74,56,77,88,94,86,59
73,2023-10-23,100,82,72,81,78,63,63
83,2023-10-24,100,81,82,95,72,78,81
77,2023-10-25,100,81,72,79,70,62,76
76,2023-10-26,96,68,77,96,72,89,64
73,2023-10-27,100,64,77,81,83,61,64
71,2023-10-28,12,76,72,93,81,73,75
74,2023-10-29,8,92,41,37,91,96,100
76,2023-10-30,48,83,81,97,78,69,75
75,2023-10-31,35,89,71,95,70,70,82
55,2023-11-01,100,41,88,65,94,18,29
86,2023-11-04,56,63,78,97,75,100,100
73,2023-11-05,20,67,75,95,67,88,79
69,2023-11-06,81,93,83,79,15,60,67
77,2023-11-07,72,47,88,88,89,71,78
76,2023-11-08,49,76,76,93,78,89,75
71,2023-11-10,47,80,73,83,64,73,73
63,2023-11-11,22,40,76,88,81,61,63
70,2023-11-12,37,61,87,81,70,86,67
71,2023-11-13,49,56,90,97,81,65,64
66,2023-11-14,41,82,72,90,81,65,54
82,2023-11-16,82,87,82,97,81,94,73
69,2023-11-17,56,73,71,86,78,80,61
59,2023-11-18,13,73,68,74,78,57,55
70,2023-11-19,62,56,84,76,91,57,66
89,2023-11-20,93,64,87,99,78,100,94
87,2023-11-21,38,83,87,98,91,97,95
80,2023-11-22,91,67,82,98,91,63,77
77,2023-11-23,21,87,82,96,78,96,78
79,2023-11-24,41,77,78,86,94,83,82
64,2023-11-25,15,90,72,74,64,60,66
66,2023-11-26,41,52,79,81,72,63,65
83,2023-11-27,100,91,76,96,78,55,84
75,2023-11-28,77,82,85,90,75,72,66
76,2023-11-29,71,70,85,76,91,86,69
74,2023-11-30,100,55,77,90,81,69,65
69,2023-12-01,59,49,74,81,94,81,61
59,2023-12-02,27,47,71,81,94,39,55
75,2023-12-03,40,52,81,90,75,99,79
79,2023-12-06,92,96,81,86,91,57,69
54,2023-12-07,28,74,54,69,78,52,44
81,2023-12-09,59,55,85,90,91,96,83
65,2023-12-10,39,46,89,90,81,46,60
78,2023-12-11,63,75,87,95,83,72,73
76,2023-12-12,68,73,80,93,78,85,69
79,2023-12-13,74,66,81,93,67,90,80
74,2023-12-15,96,43,83,98,72,65,70
63,2023-12-16,26,59,78,67,78,63,63
87,2023-12-18,100,63,77,96,75,80,96
77,2023-12-19,75,68,84,95,81,73,71
88,2023-12-20,93,95,82,95,97,93,81
71,2023-12-21,70,61,86,81,59,81,65
74,2023-12-22,74,54,80,93,75,82,70
63,2023-12-25,34,27,75,93,83,60,64
82,2023-12-26,100,95,81,79,94,71,73
77,2023-12-27,21,64,84,93,43,94,94
68,2023-12-28,37,73,80,76,67,69,69
59,2023-12-29,75,54,72,83,70,37,45
80,2023-12-30,54,95,76,81,83,78,85
68,2024-01-04,58,77,77,81,72,47,65
65,2024-01-05,64,64,92,83,67,64,49
72,2024-01-06,85,45,71,74,97,92,64
76,2024-01-07,80,62,72,76,83,92,74
79,2024-01-08,82,95,75,88,75,76,73
72,2024-01-11,82,72,59,67,91,86,68
82,2024-01-12,76,81,87,86,81,87,79
80,2024-01-13,57,97,76,86,51,98,86
80,2024-01-14,63,52,79,96,91,98,81
78,2024-01-15,65,90,81,90,72,62,80
85,2024-01-16,94,64,76,88,91,92,88
70,2024-01-23,60,67,84,83,70,71,64
70,2024-01-24,80,64,88,65,91,83,53
80,2024-01-25,70,56,78,90,89,92,82
83,2024-01-26,78,67,82,93,86,80,86
86,2024-01-27,79,95,73,97,91,91,85
74,2024-01-28,17,93,74,83,91,80,76
71,2024-01-29,90,57,54,88,81,58,72
73,2024-01-30,86,57,61,79,81,75,75
